#bget master file 
#https://github.com/jahwi/bget

#-----------------------------------------------------
#                     CHANGELOG
#19-JUN-2019: Changed 'dev-tools' category to 'devtools'.
#20-JUN-2019: Added category, last modified, and tags to the delimiter description.
#03-OCT-2019: Added script size to the delimiter description.
#25-OCT-2019: Renamed graphicsmacro to graphics.
#-----------------------------------------------------

#this file is delimited thus:
# [#], [script name] ,[script location (i.e. web address) ] ,[script description], [script's local filename], MD5hash, Author, Category, Last Modified, tags, [script size],
[#],test,https://raw.githubusercontent.com/jahwi/bget-list/master/test.bat,The Bget test file,test.bat,d20e619cbcdc632a9bec34d2cd46cb78,Jahwi,test files,Infinity,testfile,Infinite
[#],clearhist,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/clearhist/clearhist.bat,Clear File Explorer History For Your Account.,clearhist.bat,a376f254d2bc2d5293006ec00f520b1c,FreeBooter,utilities,18/07/2019 06:50 PM,clearhist,540
[#],cmdize,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/cmdize/cmdize.bat,This tool converts a supported code into a batch file that can be executed without explicit invoking the executable engine.,cmdize.bat,8df6cb4abb5d876fa24ab08b68036815,Siberia-man,tools,26/02/2019 08:32 PM,cmdize,7815
[#],cmdpie,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/cmdpie/cmdpie.bat,Pie is a simple-in-use markup language used for writing documentation for batch scripts in Windows DOS.,cmdpie.bat,7d015558efa95f1d12bf5125078f8517,Siberia-man,tools,26/02/2019 08:33 PM,cmdpie,6067
[#],cmds,https://codeload.github.com/ITCMD/CMDS/zip/master,[WIN 10 ONLY] View running cmd instances.,cmds.zip,External-File-No-Hash-Available,Lucas,tools,Nil,cmds,Nil
[#],cmdtools,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/cmdtools/cmdtools.bat,Mega-menu of useful scripts.,cmdtools.bat,b06fa70e450685e31dff7cdd7a0db522,Logicbomb,tools,26/01/2019 04:20 PM,menu;bundle;login,134525
[#],colorbox,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/colorbox/colorbox.bat,easily create colourful textboxes in the console window.,colorbox.bat,2a314a4c044037fa07561e14bcca431e,Icarus,library,15/06/2019 10:20 PM,colorbox,1943
[#],colos,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/colos/colos.cab,[Win 10] Mediative colour game in batch.,colos.cab,831c0f3b17e1e3ad3761d04e68eea2bd,LowSun,game,26/01/2019 05:21 PM,color,2174235
[#],colourfunc,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/colourfunc/colourfunc.bat,Natively display independently colored text in batch.,colourfunc.bat,2d72dea1fb7415aa60d62f386218865d,DaveBenham,library,26/01/2019 04:18 PM,color;colour,1553
[#],colourtext,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/colourtext/colourtext.bat,Natively display independently colored text in batch.,colourtext.bat,63482f3200d8e9fab23f2ae82dabe63a,Kenzix,library,26/01/2019 04:18 PM,color,1371
[#],console,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/console/console.bat,Allows advanced ability to get or set console attributes.,console.bat,cd8b8a5f013e7bcde383c058ff6dfc51,DaveBenham,library,26/01/2019 04:18 PM,window;script,11520
[#],cont,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/cont/cont.cab,A full-fledged adventure game in batch.,cont.cab,d6275413d27c901abbbe834df1a88bb1,nicksisson1,game,26/01/2019 05:21 PM,rpg,48082849
[#],cpfex,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/cpfex/cpfex.bat,Shows the control panel icon in the file explorer.,cpfex.bat,8c0de0037e0929896dbca2a4ce8aef17,Freebooter,utilities,26/01/2019 04:16 PM,admin;contextmenu,3112
[#],cpj,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/cpj/cpj.bat,Clear stuck print jobs.,cpj.bat,88b6ec67e7df657bcd9d16697025c2ae,b00st3d,utilities,26/01/2019 04:14 PM,printer;paper,760
[#],csv,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/csv/csv.bat,CSV.BAT allows interaction with CSV or TSV or similar files with SQL syntax.,csv.bat,4a54efce51c0c20241eab880f5ea4333,Rojo,library,26/01/2019 04:14 PM,row;column,24361
[#],darktheme,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/darktheme/darktheme.bat,[Win 10] Enables the dark mode explorer theme.,darktheme.bat,c2d13c4ca2e624bd37214882ecaaba8e,FreeBooter,utilities,13/08/2019 11:20 AM,darktheme,2170
[#],database,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/database/database.bat,Create and maintain databases in Batch,database.bat,f504fcdc6375faac1004660f66d7d948,Lucas,utilities,26/01/2019 04:12 PM,sql;mysql;query,36341
[#],dedup,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/dedup/dedup.vbs,[VBS] Convert duplicate files into hardlinks or symlinks to save disk space.,dedup.vbs,f7ead2b4a07b156ecf886b4ea3d7af67,jcunews,utilities,27/03/2020 07:20 PM,dedup,8716
[#],defbrowser,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/defbrowser/defbrowser.bat,Displays or configures the default broswer.,defbrowser.bat,ae6de3a91b18d24c0338d2381ed9c715,JohnnyCache,utilities,14/10/2019 09:57 PM,defbrowser,2074
[#],delonedrive,https://codeload.github.com/TERRAOperative/OneDrive-Uninstaller/zip/master,Completely uninstalls One Drive,remonedrive.zip,External-File-No-Hash-Available,TERRAOperative,utilities,Nil,delonedrive,Nil
